;Fonte;Site;EAN;Descrição do Produto;Data e hora da coleta;Estado;Concorrente;Estoque;Quantidade de estoque;Quantidade por pacote;Preço Fábrica;Desconto;ST;Preço Final
9022;Python;NAZARIA;'7891317487348;VERSA SOL 80MG/0,8ML+2SER;2025-05-08 21:02:08;RN;NAZARIA;0;0;50;255,66;0,0;0,0;255,66
9023;Python;NAZARIA;'7897517902414;ESC RICCA COLOR BLOCK RACKET;2025-05-08 21:02:08;RN;NAZARIA;0;0;6;27,47;0,0;0,0;27,47
9024;Python;NAZARIA;'7895296224031;CEFALEXINA 500MG 20CPR     (G)*;2025-05-08 21:02:08;RN;NAZARIA;0;0;60;40,33;0,0;0,0;40,33
9025;Python;NAZARIA;'7891150049628;SHP SEDA BOMBA NUTRI 325ML;2025-05-08 21:02:08;RN;NAZARIA;0;0;12;9,47;0,0;0,0;9,47
9026;Python;NAZARIA;'7891317191788;QUETIAPINA 100MG 30CPR C1 (EUF-G);2025-05-08 21:02:08;RN;NAZARIA;1;368;60;118,68;0,69;0,0;36,79
9027;Python;NAZARIA;'7509546684789;CR DEN COLGATE TOT12 CLEAN MINT 90G L6P5;2025-05-08 21:02:08;RN;NAZARIA;1;107;9;49,18;0,0;0,0;49,18
9028;Python;NAZARIA;'7891317016265;NITAZOXANIDA 500MG 6CPR (EUF-G);2025-05-08 21:02:08;RN;NAZARIA;1;7;100;46,06;0,66;0,0;15,66
9029;Python;NAZARIA;'7896014186129;TINT IMED EXC 8.1 LOU SUE+COND COLORVI;2025-05-08 21:02:08;RN;NAZARIA;0;0;10;18,72;0,0;0,0;18,72
9030;Python;NAZARIA;'7896000722805;TINT COR&TON 12.11 LOURO PLATINADO;2025-05-08 21:02:08;RN;NAZARIA;1;53;6;11,34;0,0;0,0;11,34
9031;Python;NAZARIA;'7898158693129;BENATUX/DIFENID+ASSO 12PST MENTA;2025-05-08 21:02:08;RN;NAZARIA;0;0;50;17,9;0,0;0,0;17,9
9032;Python;NAZARIA;'7896526234417;COMP MEL/EXTR PROPOL ROMA 40G;2025-05-08 21:02:08;RN;NAZARIA;0;0;100;4,38;0,0;0,0;4,38
9033;Python;NAZARIA;'7896181927068;CELECOXIBE 200MG 30CAP C1 (A4H-G);2025-05-08 21:02:08;RN;NAZARIA;0;0;50;111,24;0,7259;0,0;30,49
9034;Python;NAZARIA;'7897517904203;LIXA MADEIRA MEDIA P/ PE;2025-05-08 21:02:08;RN;NAZARIA;0;0;12;4,46;0,0;0,0;4,46
9035;Python;NAZARIA;'78913790;ADOC FINN SACARINA 100ML GTS;2025-05-08 21:02:08;RN;NAZARIA;0;0;30;4,68;0,0;0,0;4,68
9036;Python;NAZARIA;'7898565164533;OSELTAMIVIR 75MG 10CAP (NAT-G);2025-05-08 21:02:08;RN;NAZARIA;0;0;96;187,25;0,2;0,0;149,8
9037;Python;NAZARIA;'7612412425628;BE YOU HAPPINESS 90ML;2025-05-08 21:02:08;RN;NAZARIA;0;0;24;59,87;0,0;0,0;59,87
9038;Python;NAZARIA;'7899706112659;BASE BB CREAM OLHOS MEDIA 15ML;2025-05-08 21:02:08;RN;NAZARIA;0;0;9;15,97;0,0;0,0;15,97
9039;Python;NAZARIA;'7899706219914;ESM COL BL DOSE DE AUTOESTIMA 8ML;2025-05-08 21:02:08;RN;NAZARIA;0;0;72;4,24;0,0;0,0;4,24
9040;Python;NAZARIA;'309978161066;BATOM RVL LIQ MATTE HD DEVOTION 1UN;2025-05-08 21:02:08;RN;NAZARIA;0;0;2;32,37;0,0;0,0;32,37
9041;Python;NAZARIA;'7891010933623;CURAT BAND-AID TRANSP L100UN P80UN;2025-05-08 21:02:08;RN;NAZARIA;0;0;12;14,18;0,0;0,0;14,18
